EChh1h1,0.000212252079851864,0.00611040361797213,-0.128919130289722,5.68476031310597,7.17476991366605,0.149000960056008,EC,1,1,70.2,352,350,1.00571428571429
EChh1h2,0.000157647463523334,0.00630751845951361,-0.133547375546107,3.96250594817295,5.62253373907366,0.166002779090071,EC,1,2,105.3,536,517,1.03675048355899
EChh1h3,3.95069872594216e-05,0.00632971085445523,-0.151743584316261,0.98606641945638,1.50874386089853,0.0522677441442148,EC,1,3,132.3,665,658,1.01063829787234
EChh1h4,0.000186138168550482,0.0063518047955077,-0.128130800245171,4.61361287989493,7.4968931107419,0.288328023084697,EC,1,4,154.9,800,749,1.06809078771696
EChh1h5,0.000137505302635094,0.00635459409112498,-0.135727740434199,3.40520934892036,5.78817624358654,0.238296689466618,EC,1,5,173.3,891,842,1.05819477434679
EChh1h6,6.1991063817671e-05,0.00644223512094302,-0.145603027299169,1.49367443196925,2.67026482322865,0.11765903912594,EC,1,6,189.8,962,936,1.02777777777778
EChh1h7,7.83256309232304e-05,0.00642619607029685,-0.143424563924672,1.89668826606347,3.49844741844353,0.160175915238006,EC,1,7,204.5,1037,1008,1.02876984126984
EChh1h8,0.000117476218689341,0.0064274254940366,-0.137305952769032,2.84364813461842,5.38700826924266,0.254336013462424,EC,1,8,216.5,1108,1057,1.04824976348155
EChh1h9,6.76325873384581e-05,0.00639892793001058,-0.145706815713425,1.65173953684134,3.18361764005742,0.153187810321608,EC,1,9,226.5,1149,1116,1.02956989247312
EChh1h10,5.31641824744266e-05,0.00644114803034666,-0.146997990585634,1.28142319098987,2.53237640461313,0.125095321362326,EC,1,10,235.3,1193,1160,1.02844827586207
EChh2h1,0.00038762199054903,0.00573698429086129,-0.106742145072012,11.7771738522761,13.7811795434146,0.200400569113848,EC,2,1,51.7,259,258,1.00387596899225
EChh2h2,0.000261893159955555,0.00609229410634373,-0.121154170688489,7.05606274777625,9.0857347374318,0.202967198965555,EC,2,2,77.5,392,383,1.02349869451697
EChh2h3,9.6364606986463e-06,0.00614523981491026,-0.161159461490571,0.255176033945146,0.348553338115029,0.00933773041698827,EC,2,3,96.9,477,492,0.969512195121951
EChh2h4,0.000218140337186233,0.00618024711726767,-0.126509449861518,5.71115962458792,8.18050824153607,0.246934861694815,EC,2,4,113.2,577,555,1.03963963963964
EChh2h5,0.000155588383405568,0.0061907766609231,-0.13639833301118,4.0596341308744,6.02627129712079,0.196663716624638,EC,2,5,126.4,642,622,1.03215434083601
EChh2h6,2.95382071300606e-05,0.00629891291774031,-0.154068139303327,0.744479807665595,1.15240244813173,0.0407922640466136,EC,2,6,138.1,689,692,0.995664739884393
EChh2h7,7.19905117628225e-05,0.00628919772406314,-0.147556099991341,1.82005605450464,2.89487439512358,0.107481834061894,EC,2,7,149.3,749,744,1.00672043010753
EChh2h8,0.000120062009947888,0.00627675257185147,-0.140190007488626,3.04744299955242,4.96243205822124,0.191498905866881,EC,2,8,159.5,808,787,1.02668360864041
EChh2h9,0.000100199335084529,0.00624277029304583,-0.14413483480528,2.57104767269864,4.26541842897802,0.169437075627938,EC,2,9,169.1,856,835,1.0251497005988
EChh2h10,0.000123612028928662,0.00628771077781447,-0.139381088291081,3.12662374101287,5.33186233710021,0.220523859608733,EC,2,10,178.4,905,879,1.02957906712173
EChh3h1,0.00044011093669022,0.00557796872559441,-0.10037508111882,14.1452299193018,16.0641136032712,0.191888368396936,EC,3,1,43.6,222,214,1.03738317757009
EChh3h2,0.000215657903575626,0.00597235459471795,-0.131328789003597,6.0460844501125,7.44354766528255,0.139746321517005,EC,3,2,64.8,329,319,1.03134796238245
EChh3h3,9.2066686818862e-06,0.00605370005003169,-0.163667397315618,0.251223763474146,0.326258113231518,0.00750343497573724,EC,3,3,81.5,404,411,0.982968369829684
EChh3h4,0.00021144154266508,0.00612918855981544,-0.128656256801253,5.62839222100708,7.64343012260528,0.201503790159821,EC,3,4,95.3,487,466,1.0450643776824
EChh3h5,0.000131679318293281,0.00616629158776394,-0.140817324213109,3.46313526250049,4.86552000232393,0.140238473982344,EC,3,5,106.5,541,524,1.0324427480916
EChh3h6,1.18418270809734e-05,0.00629545429941124,-0.156963759233617,0.298788971845934,0.436509420797654,0.013772044895172,EC,3,6,116.3,581,582,0.99828178694158
EChh3h7,4.72336085857448e-05,0.00629966181884013,-0.151240879084153,1.19019097887918,1.78391743880199,0.0593726459922812,EC,3,7,125.7,632,625,1.0112
EChh3h8,8.4573336758697e-05,0.00628990810559631,-0.14553895667042,2.1376906836911,3.2735105963604,0.11358199126693,EC,3,8,134.3,680,663,1.02564102564103
EChh3h9,5.79262949534543e-05,0.00626147356031899,-0.150455590999661,1.47748353275605,2.30177470994371,0.0824291177187655,EC,3,9,142.3,719,704,1.02130681818182
EChh3h10,8.04163751066863e-05,0.0063026136121157,-0.145905124681223,2.02443168758159,3.23148147793295,0.120704979035136,EC,3,10,150.1,760,741,1.02564102564103
EChh4h1,0.000586212878820722,0.00565737523342073,-0.0731411836950193,18.3157786213319,20.5844224623681,0.226864384103619,EC,4,1,38.7,203,184,1.10326086956522
EChh4h2,0.000269136277997159,0.00610070557475878,-0.119799867908187,7.23122891404231,8.76530569862611,0.15340767845838,EC,4,2,57,294,276,1.06521739130435
EChh4h3,0.000152984695016869,0.00612117824512522,-0.138374553241882,4.08298639574242,5.17070757731236,0.108772118156994,EC,4,3,71.1,362,349,1.03724928366762
EChh4h4,0.000324938491090886,0.00614521937604043,-0.109851490662987,8.60451462251232,11.2950053287449,0.269049070623254,EC,4,4,82.8,433,395,1.09620253164557
